regions,,countries,,,,cities,,,
id,name,id,country_code,name,region_id,id,name,country_id,
1,North America,1,USA,United States,1,1,Ann Arbor,1,
2,Latin America,2,CAN,Canada,1,2,Atlanta,1,
3,Europe,3,BRA,Brazil,2,3,Austin,1,
4,Asia Pacific,4,COL,Colombia,2,4,Boulder,1,
5,Africa & Middle East,5,ARG,Argentina,2,5,Cambridge,1,
,,6,MEX,Mexico,2,6,Chapel Hill,1,
,,7,CHL,Chile,2,7,Chicago,1,
,,8,DEN,Denmark,3,8,Detroit,1,
,,9,NED,Nederlands,3,9,Irvine,1,
,,10,GRE,Greece,3,10,Kirkland,1,
,,11,IRL,Ireland,3,11,Los Angeles,1,
,,12,GER,Germany,3,12,Madison,1,
,,13,POL,Poland,3,13,Miami,1,
,,14,POR,Portugal,3,14,Mountain View,1,
,,15,GBR,United Kingdom,3,15,New York,1,
,,16,ESP,Spain,3,16,Pittsburgh,1,
,,17,ITA,Italy,3,17,Playa Vista,1,
,,18,RUS,Russia,3,18,Portland,1,
,,19,NOR,Norway,3,19,Redwood City,1,
,,20,FRA,France,3,20,Reston,1,
,,21,CZE,Czech Republic,3,21,San Bruno,1,
,,22,SWE,Sweden,3,22,San Diego,1,
,,23,AUT,Austria,3,23,San Francisco,1,
,,24,SUI,Switzerland,3,24,Seattle,1,
,,25,BEL,Belgium,3,25,Sunnyvale,1,
,,26,NZL,New Zeland,4,26,Washington D.C.,1,
,,27,IND,India,4,27,Kitchener,2,
,,28,THA,Thailand,4,28,Montreal,2,
,,29,IDN,Indonesia,4,29,Toronto,2,
,,30,HKG,Hongkong,4,30,Belo Horizonte,3,
,,31,CHN,China,4,31,Sao Paulo,3,
,,32,MYS,Malaysia,4,32,Bogota,4,
,,33,PHL,Philippines,4,33,Buenos Aires,5,
,,34,AUS,Australia,4,34,Mexico City,6,
,,35,KOR,South Korea,4,35,Santiago,7,
,,36,SIN,Singapore,4,36,Aarhus,8,
,,37,TWN,Taiwan,4,37,Copenhagen,8,
,,38,JPN,Japan,4,38,Amsterdam,9,
,,39,UAE,United Arab Emirates,5,39,Athens,10,
,,40,ISR,Israel,5,40,Dublin,11,
,,41,TUR,Turkey,5,41,Berlin,12,
,,42,RSA,Republic of South Africa,5,42,Hamburg,12,
,,,,,,43,Munich,12,
,,,,,,44,Krakow,13,
,,,,,,45,Warsaw,13,
,,,,,,46,Wroclaw,13,
,,,,,,47,Lisbon,14,
,,,,,,48,London,15,
,,,,,,49,Madrid,16,
,,,,,,50,Milan,17,
,,,,,,51,Moscow,18,
,,,,,,52,Oslo,19,
,,,,,,53,Paris,20,
,,,,,,54,Prague,21,
,,,,,,55,Stockholm,22,
,,,,,,56,Wien,23,
,,,,,,57,Zurich,24,
,,,,,,58,Brussels,25,
,,,,,,59,Auckland,26,
,,,,,,60,Bangalore,27,
,,,,,,61,Gurgaon,27,
,,,,,,62,Hajdarabad,27,
,,,,,,63,Mumbai,27,
,,,,,,64,Bangkok,28,
,,,,,,65,Jakarta,29,
,,,,,,66,Hongkong,30,
,,,,,,67,Kanton,31,
,,,,,,68,Beijing,31,
,,,,,,69,Shanghai,31,
,,,,,,70,Kuala Lumpur,32,
,,,,,,71,Manila,33,
,,,,,,72,Melbourne,34,
,,,,,,73,Sydney,34,
,,,,,,74,Seul,35,
,,,,,,75,Singapore,36,
,,,,,,76,Taipei,37,
,,,,,,77,Tokyo,38,
,,,,,,78,Dubai,39,
,,,,,,79,Haifa,40,
,,,,,,80,Tel Aviv,40,
,,,,,,81,Istanbul,41,
,,,,,,82,Johannesburg,42,